"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Data Valuation and Pricing in Internet of Things: Survey and Vision","X. Shi; H. Duan","Artificial Intelligence Research Institute, Shenzhen MSU-BIT University, Guangdong, China; Artificial Intelligence Research Institute, Shenzhen MSU-BIT University, Guangdong, China",2024 IEEE International Conference on Smart Internet of Things (SmartIoT),"17 Dec 2024","2024","","","547","554","In the digital age, data has become an invaluable asset for decision-making across various industries. Accurate data valuation is essential for businesses to effectively leverage their data assets, optimize strategies, and enhance operational efficiencies. This paper discusses the complex challenges inherent in data valuation methods, focusing on issues of data provenance and the lack of standardized valuation metrics. Moreover, the Internet of Things (IoT) further complicates this landscape by generating vast volumes of real-time data, which requires robust evaluation frameworks. Blockchain technology, with its decen-tralized and tamper-resistant characteristics, offers promising solutions by ensuring data integrity and traceability. Additionally, smart contracts enable automated and reliable execution of data transactions, reinforcing trust in the data exchange process. Tech-nically, the integration of wireless sensing technology and edge computing facilitates real-time data collection and processing, improving the accuracy and timeliness of data valuation, and machine learning (ML) techniques further enhance these efforts by uncovering patterns and relationships within large datasets. This study explores how these advanced technologies can address the limitations of existing data valuation methods, paving the way for a more transparent, secure, and efficient data marketplace.","2770-2677","979-8-3503-6644-0","10.1109/SmartIoT62235.2024.00090","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10788389","Data Valuation;Pricing;Internet of Things;Blockchain","Industries;Wireless communication;Wireless sensor networks;Accuracy;Decision making;Pricing;Real-time systems;Internet of Things;Cost accounting;Business","","","","48","IEEE","17 Dec 2024","","","IEEE","IEEE Conferences"
"Software Architecture for Agricultural Robots: Systems, Requirements, Challenges, Case Studies, and Future Perspectives","R. Raja","Donders Centre for Cognition, Department of Artificial Intelligence, Radboud University, Nijmegen, The Netherlands",IEEE Transactions on AgriFood Electronics,"10 Apr 2024","2024","2","1","125","137","Designing software architectures for autonomous robots for agricultural contexts is a demanding and difficult job due to the requirement to monitor numerous sensors and actuators, as well as autonomous decision-making in unpredictable, unexpected scenarios. Depending on the essential requirements of a robotic device for agricultural usage, robot software architecture is created differently. Since no single software architecture exists for all applications, extensive knowledge of the various software architectures for robots is needed when creating your own robotic architecture or selecting one from a number of existing architectures. As a result, this article provides a comprehensive history of software architecture and its application in the agricultural domain along with a chronology of how software design has evolved over time. We provide several case studies to understand the importance of application of software architecture in agriculture and food industry and how to choose the best architecture for agricultural tasks. Finally, this article discusses the open obstacles and difficulties that must be addressed in order to ensure more advancements in the development of robot architecture for agricultural applications.","2771-9529","","10.1109/TAFE.2024.3366335","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10459067","Agricultural robot;food processing;food packaging;harvesting robot;robot programming;software architecture","Robot sensing systems;Agricultural robots;Software architecture;Food packaging;Robot programming","","","","66","IEEE","5 Mar 2024","","","IEEE","IEEE Journals"
"Securing the Connected Future: A Comprehensive Analysis of Challenges, Threats, and Prospects in IoT Security","Suryakanta; H. Rao; J. Singh; G. Singh; S. Aggarwal","Department of CSE, Chandigarh University, Mohali, India; Department of CSE, Amity University, Mohali, India; Department of CSE, Chandigarh University, Mohali, India; Department of CSE, Amity University, Mohali, India; Department of CSE, Chandigarh University, Mohali, India",2023 3rd International Conference on Technological Advancements in Computational Sciences (ICTACS),"25 Jan 2024","2023","","","100","105","With new technology comes new challenges and opportunities. These opportunities try to leverage Internet of Things (I oT) and embark on creating a connected business. IoT promises technical advances, improved efficiencies, greater revenues and enhanced customer experiences. The rapid proliferation of IoT devices has revolutionized the way we interact with the world, offering unprecedented levels of connectivity and convenience. However, this proliferation has also exposed the IoT ecosystem to a myriad of security challenges and barriers. This research paper presents a comprehensive review of the current state of IoT security, focusing on the challenges and barriers, critical security issues that pose significant threats, and the potential future of IoT.","","979-8-3503-4233-8","10.1109/ICTACS59847.2023.10389948","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10389948","IoT Security;IoT Challenges and Barriers;IoT Future","Ecosystems;Focusing;Internet of Things;Security;Stakeholders;Business","","","","18","IEEE","25 Jan 2024","","","IEEE","IEEE Conferences"
"Integrated 3D Networking and Ambient IoT in 6G","M. Ghassemian; D. Vukobratovic; X. An; A. M. Valenzuela; L. Cordeiro; J. Fernandes; L. Rosa; S. Aguilar; S. Gupta","Huawei Technologies Duesseldorf GmbH, Germany; University of Novi Sad, Serbia; Huawei Technologies Duesseldorf GmbH, Germany; Instituto Tecnológico de Informática (ITI), Spain; OneSource, Portugal; OneSource, Portugal; OneSource, Portugal; SatelIoT, Spain; SatelIoT, Spain",2024 IEEE Conference on Standards for Communications and Networking (CSCN),"27 Jan 2025","2024","","","218","223","The paper provides an in-depth analysis of the integration of Integrated 3D Networking and Ambient IoT within the 6G standardization framework, as outlined by the IMT-2030 initiative. With the rapid evolution of telecommunications, advanced networking solutions are essential. Integrated 3D Networking combines terrestrial and non-terrestrial communication systems, enhancing connectivity and coverage, while Ambient IoT facilitates seamless, context-aware interactions between users and their environments. This study explores the core components and applications of Integrated 3D Networking, emphasizing its benefits in the 6G context, including improved service delivery, resilience and operational efficiency. Additionally, it examines the conceptual framework of Ambient IoT, addressing the challenges and opportunities of integration within a 6G environment. The synergistic relationship between these technologies is highlighted, focusing on enhanced sensing, connectivity, and positioning capabilities, supported by real-world use cases. Furthermore, the paper critically analyzes standardization efforts from organizations like ITU-R, IEEE, ETSI, and 3GPP, underscoring the necessity for harmonized standards to enable seamless integration. The findings reveal significant implications for advancing 6G standardization, identifying innovation opportunities and future research directions. By addressing these critical aspects, the paper aims to contribute to the discourse on the transformative potential of 6G technologies, paving the way for a ubiquitously connected and intelligent future.","2644-3252","979-8-3315-0742-8","10.1109/CSCN63874.2024.10849744","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10849744","6G standardization;3D Networking;Ambient IoT;Use case requirements;standardization landscape","6G mobile communication;Technological innovation;Three-dimensional displays;ETSI;Focusing;Organizations;Telecommunications;Sensors;3GPP;Resilience","","","","38","IEEE","27 Jan 2025","","","IEEE","IEEE Conferences"
"Artificial Intelligence–Blockchain‐Enabled–Internet of Things‐Based Cloud Applications for Next‐Generation Society","V. Hemamalini; A. K. Mishra; A. K. Tyagi; V. Kakulapati","Department of Networking and Communications, School of Computing, SRM Institute of Science and Technology, Chennai, India; Computer Science and Engineering, NIIT University, Neemrana, Rajasthan, India; Department of Fashion Technology, National Institute of Fashion Technology, New Delhi, Delhi, India; Sreenidhi Institute of Science and Technology, Hyderabad, Telangana, India",Automated Secure Computing for Next-Generation Systems,"","2024","","","65","82","Summary <p>Artificial intelligence (AI), blockchain technology, and Internet of Things (IoT) are three of the most rapidly evolving technologies in the current era. The integration of these technologies can provide significant benefits to cloud‐based environments by enhancing security, privacy, and data management. This paper proposes an architecture that combines AI, blockchain, and IoT in a cloud‐based environment. The proposed architecture provides a secure and reliable platform for data exchange and analysis, enabling the development of smart applications that can improve the efficiency, productivity, and quality of life. The architecture's core components are the IoT sensors, AI algorithms, and blockchain technology, which ensure data security and privacy, immutability, and transparency. The proposed architecture can be used in various applications, such as healthcare, logistics, and smart cities. In summary, this chapter provides an overview of the benefits and challenges associated with the integration of AI, blockchain, and IoT and proposes a novel architecture that can leverage these technologies to improve cloud‐based environments’ efficiency and security. This research work will discuss about futuristic technology and their role in respective fields in detail.</p>","","9781394213931","10.1002/9781394213948.ch4","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10554541.pdf&bkn=10554376&pdfType=chapter","","Internet of Things;Artificial intelligence;Blockchains;Cloud computing;Next generation networking;Medical services;Computer architecture","","","","","","11 Jun 2024","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Google Machine Learning and Generative AI for Solutions Architects: ​Build efficient and scalable AI/ML solutions on Google Cloud","K. Kavanagh; P. Vergadia",NA; NA,Google Machine Learning and Generative AI for Solutions Architects: ​Build efficient and scalable AI/ML solutions on Google Cloud,"","2024","","","","","Architect and run real-world AI/ML solutions at scale on Google Cloud, and discover best practices to address common industry challenges effectivelyKey FeaturesUnderstand key concepts, from fundamentals through to complex topics, via a methodical approachBuild real-world end-to-end MLOps solutions and generative AI applications on Google CloudGet your hands on a code repository with over 20 hands-on projects for all stages of the ML model development lifecyclePurchase of the print or Kindle book includes a free PDF eBookBook DescriptionMost companies today are incorporating AI/ML into their businesses. Building and running apps utilizing AI/ML effectively is tough. This book, authored by a principal architect with about two decades of industry experience, who has led cross-functional teams to design, plan, implement, and govern enterprise cloud strategies, shows you exactly how to design and run AI/ML workloads successfully using years of experience from some of the world’s leading tech companies. You’ll get a clear understanding of essential fundamental AI/ML concepts, before moving on to complex topics with the help of examples and hands-on activities. This will help you explore advanced, cutting-edge AI/ML applications that address real-world use cases in today’s market. You’ll recognize the common challenges that companies face when implementing AI/ML workloads, and discover industry-proven best practices to overcome these. The chapters also teach you about the vast AI/ML landscape on Google Cloud and how to implement all the steps needed in a typical AI/ML project. You’ll use services such as BigQuery to prepare data; Vertex AI to train, deploy, monitor, and scale models in production; as well as MLOps to automate the entire process. By the end of this book, you will be able to unlock the full potential of Google Cloud's AI/ML offerings.What you will learnBuild solutions with open-source offerings on Google Cloud, such as TensorFlow, PyTorch, and SparkSource, understand, and prepare data for ML workloadsBuild, train, and deploy ML models on Google CloudCreate an effective MLOps strategy and implement MLOps workloads on Google CloudDiscover common challenges in typical AI/ML projects and get solutions from expertsExplore vector databases and their importance in Generative AI applicationsUncover new Gen AI patterns such as Retrieval Augmented Generation (RAG), agents, and agentic workflowsWho this book is forThis book is for aspiring solutions architects looking to design and implement AI/ML solutions on Google Cloud. Although this book is suitable for both beginners and experienced practitioners, basic knowledge of Python and ML concepts is required. The book focuses on how AI/ML is used in the real world on Google Cloud. It briefly covers the basics at the beginning to establish a baseline for you, but it does not go into depth on the underlying mathematical concepts that are readily available in academic material.","","9781803247021","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10769249.pdf&bkn=10769248&pdfType=book","","","","","","","","27 Nov 2024","","","Packt Publishing","Packt Publishing eBooks"
"Impact of IoT Integration on Enterprise Resource Planning (ERP) Systems: A Comprehensive Literature Analysis","S. Wijesinghe; I. Nanayakkara; R. Pathirana; R. Wickramarachchi; I. Fernando","Department of Industrial Management, University of Kelaniya, Dalugama, Sri Lanka; Department of Industrial Management, University of Kelaniya, Dalugama, Sri Lanka; Department of Industrial Management, University of Kelaniya, Dalugama, Sri Lanka; Department of Industrial Management, University of Kelaniya, Dalugama, Sri Lanka; Department of Industrial Management, University of Kelaniya, Dalugama, Sri Lanka",2024 International Research Conference on Smart Computing and Systems Engineering (SCSE),"11 Jun 2024","2024","7","","1","5","The integration of Internet of Things (IoT) technology with Enterprise Resource Planning (ERP) systems has gained significant attention in recent years. This research study aims to provide a comprehensive analysis of the impact of IoT integration on ERP systems. The study explores the benefits, challenges, and potential solutions associated with combining IoT and ERP. The findings highlight that IoT integration with ERP offers several advantages, such as real-time data collection, improved supply chain visibility, enhanced asset tracking, and predictive maintenance capabilities. These benefits lead to increased operational efficiency, reduced costs, and better decision-making. The integration of IoT with ERP also presents challenges that need to be addressed. These challenges include data security and privacy concerns, IoT traffic, and data management. The research identifies potential solutions and best practices to overcome these challenges. Furthermore, the study discusses the implications of IoT integration on various functional areas of ERP systems, such as healthcare, manufacturing, logistics, inventory management, and customer relationship management. The research methodology includes an extensive review of existing literature and case studies. This research provides valuable insights into the impact of IoT integration on ERP systems, offering guidance for organizations considering already implemented IoT-enabled ERP solutions or currently implementing ERP solutions.","2613-8662","979-8-3503-7568-8","10.1109/SCSE61872.2024.10550684","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550684","ERP system;IoT-enabled ERP;PRISMA","Technological innovation;Shape;Decision making;Supply chains;Organizations;Market research;Systems engineering and theory","","","","24","IEEE","11 Jun 2024","","","IEEE","IEEE Conferences"
"Application of Artificial Intelligence in Power Grid","L. Shi","Software engineering, School of Information Engineering, Shanghai Maritime University, Nantong, China","2024 3rd International Conference on Cloud Computing, Big Data Application and Software Engineering (CBASE)","14 Jan 2025","2024","","","732","736","At present, artificial intelligence has been widely used in power system fault diagnosis, power grid operation and regulation, fault warning system, power grid equipment load prediction and other fields. Artificial intelligence can improve the efficiency and accuracy of fault diagnosis in power system. It can realize intelligent power grid management and optimal dispatching in power grid operation and regulation. In the fault warning system, the power grid faults can be predicted in advance and corresponding measures can be taken. In the load forecasting of power grid equipment, the load changes can be accurately predicted and reasonably adjusted. However, there are still some challenges in the application of AI in the power grid, such as data security and processing. This article provides a comprehensive overview and analysis of the application of artificial intelligence in the power grid.","","979-8-3315-0658-2","10.1109/CBASE64041.2024.10824290","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10824290","Artificial intelligence;Power grid;Power system fault diagnosis;Power grid operation and regulation;Fault warning system","Fault diagnosis;Power measurement;Accuracy;Alarm systems;Power grids;Regulation;Software measurement;Artificial intelligence;Power system faults;Software engineering","","","","13","IEEE","14 Jan 2025","","","IEEE","IEEE Conferences"
"Enabling Efficient NVM-Based Text Analytics without Decompression","X. Fang; F. Zhang; J. Nong; M. Zhang; P. Hu; Y. Chai; X. Du","Key Laboratory of Data Engineering and Knowledge Engineering (MOE), and School of Information, Renmin University of China; Key Laboratory of Data Engineering and Knowledge Engineering (MOE), and School of Information, Renmin University of China; Key Laboratory of Data Engineering and Knowledge Engineering (MOE), and School of Information, Renmin University of China; Department of Computer Science and Engineering, Tsinghua University; Key Laboratory of Data Engineering and Knowledge Engineering (MOE), and School of Information, Renmin University of China; Key Laboratory of Data Engineering and Knowledge Engineering (MOE), and School of Information, Renmin University of China; Key Laboratory of Data Engineering and Knowledge Engineering (MOE), and School of Information, Renmin University of China",2024 IEEE 40th International Conference on Data Engineering (ICDE),"23 Jul 2024","2024","","","3725","3738","Text analytics directly on compression (TADOC) is a promising technology designed for handling big data analytics. However, a substantial amount of DRAM is required for high performance, which limits its usage in many important scenarios where the capacity of DRAM is limited, such as memory-constrained systems. Non-volatile memory (NVM) is a novel storage technology that combines the advantage of reading per-formance and byte addressability of DRAM with the durability of traditional storage devices like SSD and HDD. Unfortunately, no research demonstrates how to use NVM to reduce DRAM utilization in compressed data analytics. In this paper, we propose N-TADOC, which substitutes DRAM with NVM while maintaining TADOC's analytics performance and space savings. Utilizing an NVM block device to reduce DRAM utilization presents two challenges, including poor data locality in traversing datasets and auxiliary data structure reconstruction on NVM. We develop novel designs to solve these challenges, including a pruning method with NVM pool management, bottom-up upper bound estimation, correspondent data structures, and persistence strategy at different levels of cost. Experimental results show that on four real-world datasets, N-TADOC achieves 2.04× performance speedup compared to the processing directly on the uncompressed data and 70.7% DRAM space saving compared to the original TADOC.","2375-026X","979-8-3503-1715-2","10.1109/ICDE60146.2024.00286","National Natural Science Foundation of China(grant numbers:62172419,U1911203,62322213); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10597868","NVM;TADOC;text analytics directly on compressed data","Performance evaluation;Upper bound;Data analysis;Costs;Nonvolatile memory;Random access memory;Estimation","","","","65","IEEE","23 Jul 2024","","","IEEE","IEEE Conferences"
"Exploring different Actor Roles in Orchestrations of System of Systems","T. Nordstrom; L. R. Sutfeld; T. Besker","RISE Research Institutes of Sweden AB and Department of Applied Physics and Electronics, Umeå University, Sweden; Computer Science, RISE Research Institutes of Sweden AB, Gothenburg, Sweden; Systems Engineering, RISE Research Institutes of Sweden AB, Gothenburg, Sweden",2024 19th Annual System of Systems Engineering Conference (SoSE),"9 Aug 2024","2024","","","190","196","The rising complexity and interconnectedness of contemporary systems engineering solutions have spurred the development of Systems-of-Systems (SoS). Within a SoS, we find interconnected constituent systems (CSs), each possessing individual capabilities and managerial autonomy. For effective management of a SoS, a dedicated orchestration mechanism is crucial. However, currently, there is a lack of a well-defined internal structure or an understanding of roles and interactions between sub-parts of the Orchestrator. This paper proposes a framework for SoS orchestration, identifying distinct actors and their functional roles for an effective SoS operation. Our framework consists of two main groups: SoS Governors (handling legal and financial aspects) and the Orchestrator (responsible for the overall SoS operation). Key actors within the Orchestrator are identified and described, including the Goal Transformer, Registrar, Composer, Executor, Cartographer, Data Curator, and Translator. The paper concludes by discussing the dynamic collaboration between orchestration actors and the significance of clearly defining these roles for complex SoS management. This study offers a foundation for future research and practice in SoS orchestration, potentially enhancing these complex systems’ resilience, effectiveness, and overall management.","2835-3161","979-8-3503-6591-7","10.1109/SOSE62659.2024.10620949","Vinnova; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10620949","System-of-Systems;Orchestration;Mediators","Law;Collaboration;Transformers;Complexity theory;System of systems;Resilience","","","","19","IEEE","9 Aug 2024","","","IEEE","IEEE Conferences"
"A Conceptual Framework for Predictive Maintenance of Underwater Sensors Using Named Data Networking and Machine Learning","A. Benarfa; S. Dahmane; B. Brik","Laboratoire d'Informatique et de Mathématiques, Université de Laghouat, Laghouat, Algeria; Computer Science Department, Ecole Normale Supérieure, Laghouat, Algeria; Computer Science Department, Sharjah University, Sharjah, UAE","2024 International Conference on Intelligent Computing, Communication, Networking and Services (ICCNS)","11 Dec 2024","2024","","","4","8","Underwater Wireless Sensor Networks (UWSNs) are essential for gathering data in diverse marine applications, including oceanographic research, environmental monitoring, and marine resource management. However, maintaining under-water sensors is challenging due to the harsh and inaccessible environment. This paper proposes a novel conceptual framework for predictive maintenance of UWSNs, leveraging the strengths of Named Data Networking (NDN) for data management and machine learning for sensor fault prediction. The framework integrates these technologies to enhance sensor network reliability and lifespan while minimizing maintenance costs. We discuss the design principles, key components, and potential benefits and challenges of this framework, along with a detailed analysis of its potential benefits and challenges. Additionally, we explore specific case studies to illustrate the applicability of the framework to real-world scenarios. This research highlights the potential of integrating NDN and AI for proactive maintenance in UWSNs, paving the way for future implementation and validation in real-world scenarios.","","979-8-3503-5469-0","10.1109/ICCNS62192.2024.10776363","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10776363","Underwater Wireless Sensor Networks (UWSNs);Named Data Networking (NDN);Predictive Maintenance;Machine Learning;Sensor Fault Prediction","Wireless sensor networks;Costs;Accuracy;Machine learning;Sensors;Maintenance;Resource management;Environmental monitoring;Predictive maintenance","","","","22","IEEE","11 Dec 2024","","","IEEE","IEEE Conferences"
"Towards Proactive Maintenance : The Implementation of Digitized SCADA Systems for Predictive Maintenance Optimization in Production Environments","M. O. Seddini; L. Triqui-Sari","Department of Industrial Engineering Manufacturing Engineering Laboratory of Tlemcen (MELT), University of Tlemcen, Tlemcen, Algeria; Department of Industrial Engineering Manufacturing Engineering Laboratory of Tlemcen (MELT), University of Tlemcen, Tlemcen, Algeria",2024 IEEE 15th International Colloquium on Logistics and Supply Chain Management (LOGISTIQUA),"28 Jun 2024","2024","","","1","7","This paper advocates for the adoption of predictive maintenance strategies in production companies, highlighting the transition from traditional reactive and preventive maintenance approaches. It emphasizes the importance of data acquisition, management, and utilization in enabling predictive maintenance, proposing the development and implementation of a digitized Supervisory Control and Data Acquisition (SCADA) system. The proposed solution integrates advanced technologies such as sensors, Industrial Internet of Things (IIoT), and artificial intelligence (AI) to automate data acquisition, processing, and predictive analytics. Through systematic implementation, organizations can enhance operational efficiency, reduce downtime, and transition to proactive maintenance strategies. The paper presents the architecture, infrastructure setup, and testing methodology used to validate the effectiveness of the proposed system. Future research directions include continuous refinement of predictive models, scalability across industries, and understanding human factors for successful implementation.","2166-7373","979-8-3503-8391-1","10.1109/LOGISTIQUA61063.2024.10571506","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10571506","Proactive maintenance;Supervisory Control and Data Acquisition (SCADA);Industrial Internet of Things (IIoT);Data acquisition;Data management;Industry 4.0","Scalability;Data acquisition;SCADA systems;Production;Predictive models;Maintenance;Artificial intelligence","","","","30","IEEE","28 Jun 2024","","","IEEE","IEEE Conferences"
"8 Overview of IoT Technologies and Applications","R. Jain",NA,Advancements in AI and IoT for Chip Manufacturing and Defect Prevention,"","2024","","","97","101","This is essential reading for semiconductor professionals seeking to expand their knowledge on silicon processes, understand the significance of defect prevention, and explore methods for optimizing processes by reducing defects using AI and IoT technologies. In the dynamic landscape of semiconductor manufacturing, the focus on processes and defect prevention stands paramount. Traditional approaches have yielded valuable insights, yet the emergence of artificial intelligence (AI) and Internet of Things (IoT) technologies heralds a new era in defect prevention strategies. Engineers specializing in AI and machine learning, interdisciplinary researchers, and early graduates aspiring to enter the semiconductor industry will also find this book invaluable. Meticulously crafted, this book provides concise, yet insightful content tailored to today's fast-paced readers. It emphasizes semiconductors, manufacturing processes, and defect prevention, offering a comprehensive understanding of these critical areas. The integration of AI and IoT in chip manufacturing defect prevention represents a groundbreaking advancement. Targeting semiconductor engineers, researchers, technology professionals, and students, this book serves as a valuable resource for understanding the interplay between semiconductors, manufacturing processes, defects, and the transformative potential of AI and IoT integration. Practical tools for failure analysis and parameter control are provided, along with hypothetical use cases and theoretical applications that inspire innovation. Through interdisciplinary insights, this book charts a course toward a future where semiconductor manufacturing defects are minimized, productivity is maximized, and innovation thrives at the intersection of technology and industry.","","9788770046800","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10643805.pdf&bkn=10643765&pdfType=chapter","","","","","","","","22 Aug 2024","","","River Publishers","River eBook Chapters"
"Unlocking the Potential of IoT Technologies in the Era of Industry 4.0 Digital Economy: An Exploration of the Transformative Impact","T. K. Vashishth; B. Kumar; K. K. Sharma; S. Chaudhary; R. Panwar; V. Sharma","School of Computer Science and Applications, IIMT University, Meerut, U.P, India; School of Computer Science and Applications, IIMT University, Meerut, U.P, India; School of Computer Science and Applications, IIMT University, Meerut, U.P, India; School of Computer Science and Applications, IIMT University, Meerut, U.P, India; School of Computer Science and Applications, IIMT University, Meerut, U.P, India; School of Computer Science and Applications, IIMT University, Meerut, U.P, India",2024 Sixth International Conference on Computational Intelligence and Communication Technologies (CCICT),"19 Jul 2024","2024","","","120","126","Business operations have undergone a considerable transition because of the Fourth Industrial Revolution or Industry 4.0. The Internet of Things (IoT) and the proliferation of connected gadgets have made the digital economy more dynamic and complicated. The introduction of the study provides an outline of Industry 4.0 and the salient features that characterise this period. The article then goes into detail on Industry 4.0’s use of IoT technologies and how such technologies are altering every aspect of business operations, from manufacturing to logistics and supply chain management. The report also looks at some of the issues with data security and privacy that enterprises have when deploying IoT technologies. The article provides case studies of companies that have effectively deployed IoT technology to help readers comprehend the transformative effects of these technologies. These case studies demonstrate how IoT technologies have helped businesses grow more productive, spend less money, and provide better customer service. In addition, the report looks at prospective IoT applications for Industry 4.0, like predictive maintenance and smart cities. Overall, this article offers a thorough review of the industry 4.0 digital economy’s transformational effects of IoT technology. It emphasises the potential advantages that companies can gain from these technologies as well as the difficulties they must overcome to reach their full potential.","","979-8-3503-7462-9","10.1109/CCICT62777.2024.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10596576","Internet of Things (IoT);smart manufacturing;preventive maintenance;supply chain management;workforce;job creation","Productivity;Supply chain management;Smart cities;Reviews;Companies;Fourth Industrial Revolution;Internet of Things","","","","10","IEEE","19 Jul 2024","","","IEEE","IEEE Conferences"
"Digital Twin Models for Cybersecurity Use Cases in Water Utilities and SCADA Systems: A Review","J. R. Boogaard; S. P. Rao; S. R. A. Balaji; P. Ranganathan","Center for Cybersecurity Research (C2SR), University of North Dakota, Grand Forks, ND, USA; Center for Cybersecurity Research (C2SR), University of North Dakota, Grand Forks, ND, USA; Center for Cybersecurity Research (C2SR), University of North Dakota, Grand Forks, ND, USA; Center for Cybersecurity Research (C2SR), University of North Dakota, Grand Forks, ND, USA",2024 Cyber Awareness and Research Symposium (CARS),"13 Dec 2024","2024","","","1","11","This study seeks to investigate the recent trends in Digital Twin (DT) technology and how it can be utilized to improve the existing security of vulnerable public water treatment and wastewater treatment facilities. The scope of this study explores the integration of DT in water utilities to understand the technology’s potential in improving security and enhancing system efficiency. The paper also presents the Operational Technology (OT) issues and an overview of the capability in all manners with which Digital Twins use can transform water utility operations.","","979-8-3503-8641-7","10.1109/CARS61786.2024.10778873","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10778873","Cybersecurity;Digital Twin;SCADA;Water Utilities","Reviews;SCADA systems;Transforms;Digital twins;Safety;Wastewater;Wastewater treatment;Sustainable development;Cyberattack;Testing","","","","105","IEEE","13 Dec 2024","","","IEEE","IEEE Conferences"
"Enhancing Healthcare Services through User-Centered Data Collection and Analysis","O. Zungor; Y. Uludag; O. Celikel; O. Pinarer","Grad. School of Science and Engineering, Galatasaray University, Istanbul, Turkey; Dept. Computer Engineering, Galatasaray University, Istanbul, Turkey; Dept. Computer Engineering, Galatasaray University, Istanbul, Turkey; Dept. Computer Engineering, Galatasaray University, Istanbul, Turkey",2024 IEEE International Conference on Big Data (BigData),"16 Jan 2025","2024","","","6556","6563","The advent of real-time data processing applications has revolutionized monitoring and analysis capabilities across diverse operational domains, including big data and healthcare. This study focuses on the development and evaluation of a prototype application designed for real-time data processing in dynamic environments. The application parses configuration files, processes real-time sensor data and outputs calculated values at user-defined intervals, ensuring accuracy and timeliness in data analysis. Experimental evaluations under varied conditions validate the application’s robust performance in managing pipeline operations, computational efficiency, response times and data aggregation precision. Optimizations, including data type adjustments, significantly enhance network communication efficiency and reduce latency, critical for supporting real-time applications. The application’s flexibility in user-configured settings for data storage and aggregation proves essential for adapting to specific application requirements. This adaptability is particularly beneficial f or handling the complexities of big data and the sensitivity of healthcare data. Overall, this study contributes a robust solution for real-time data processing and continuous monitoring, demonstrating its feasibility and applicability across dynamic operational environments, including those requiring rigorous data handling and precise analytics.","2573-2978","979-8-3503-6248-0","10.1109/BigData62323.2024.10825709","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825709","User-Centered Design;Internet of Medical Things (IoMT);Big Data Analytics in Healthcare;Predictive Health Analytics;Patient Engagement and Data Privacy","Data analysis;Sensitivity;Pipelines;Prototypes;Medical services;Big Data;Real-time systems;Time factors;Monitoring;Optimization","","","","26","IEEE","16 Jan 2025","","","IEEE","IEEE Conferences"
"Nanoscale Computing at the Edge: AI Devices and Applications","S. Sivasubramani",Indian Institute of Technology Hyderabad,Nanoscale Computing: The Journey Beyond CMOS with Nanomagnetic Logic,"","2025","","","239","272","Summary <p>This chapter briefs the transformative impact of nanoscale computing on edge AI technologies. It discovers the interdisciplinary nature of nanoscale computing. It seamlessly merges physics, materials science, and computer science to redefine capabilities of AI devices at the edge. Real‐world implementations and success stories underscore the edge AI applications powered by nanomagnetic logic devices. The exploration spans Challenges and Future Developments. It showcase edge devices providing insightful case studies. The chapter gets into a comprehensive discussion on key concepts, emphasizing:‐ adaptability, collaboration, and continuous learning. Nanoscale computing emerges as a promise in edge AI. This chapter serves as a guide for professionals, researchers, and students. It offers an understanding of evolving landscape and pushing boundaries of possibilities in AI devices and applications at the edge.</p>","","9781394263578","10.1002/9781394263585.ch6","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10830658.pdf&bkn=10830553&pdfType=chapter","","Nanoscale devices;Cloud computing;Bandwidth;Real-time systems;Multi-access edge computing;Performance evaluation;Internet of Things;Decision making;Data handling;Computer architecture","","","","","","7 Jan 2025","","","IEEE","Wiley-IEEE Press eBook Chapters"
